question_id,required_skills,difficulty,question_type,negative_marking,expected_time_sec,distractor_map,status,my_time_sec
GTM08_PHY_01,Newtons_Laws|Spring_Force|Kinematics,Hard,MCQ_Single,True,120,{},Skipped,99
GTM08_PHY_02,Projectile_Motion|Centre_of_Mass|Conservation_of_Momentum,Medium,MCQ_Single,True,120,{},Skipped,10
GTM08_PHY_03,Magnetic_Effects_of_Current,Hard,MCQ_Single,True,120,{},Skipped,97
GTM08_PHY_04,Fluid_Dynamics|Kinematics,Hard,MCQ_Single,True,120,"{""A"": ""Ignored_Platform_Height"", ""B"": ""Torricelli_Square_Root_Error"", ""C"": ""Misread_Depth_Variable""}",Wrong,46
GTM08_PHY_05,Calorimetry|Latent_Heat,Hard,MCQ_Single,True,120,{},Skipped,220
GTM08_PHY_06,Waves_on_a_String|Standing_Waves,Hard,MCQ_Single,True,120,{},Skipped,12
GTM08_PHY_07,Electrostatics|Gauss_Law,Hard,MCQ_Single,True,120,{},Skipped,38
GTM08_PHY_08,Electromagnetic_Induction|LC_Oscillations,Easy,MCQ_Single,True,120,{},Correct,106
GTM08_PHY_09,Ray_Optics|Lenses,Hard,MCQ_Single,True,120,{},Skipped,100
GTM08_PHY_10,Units_and_Dimensions|Screw_Gauge,Hard,MCQ_Single,True,120,{},Skipped,16
GTM08_PHY_11,Rotational_Dynamics|Friction|Torque,Hard,MCQ_Single,True,120,{},Skipped,76
GTM08_PHY_12,Thermodynamics|Polytropic_Process,Easy,MCQ_Single,True,120,{},Skipped,67
GTM08_PHY_13,Gravitation|Gravitational_Field,Medium,MCQ_Single,True,120,{},Skipped,15
GTM08_PHY_14,Work_Energy_Power|Circular_Motion,Hard,MCQ_Single,True,120,{},Skipped,116
GTM08_PHY_15,Wave_Optics|YDSE,Hard,MCQ_Single,True,120,"{""A"": ""Path_Difference_Sign_Error"", ""C"": ""Ignored_Refractive_Index"", ""D"": ""Fringe_Width_Formula_Error""}",Wrong,69
GTM08_PHY_16,Fluid_Mechanics|Bernoullis_Principle,Hard,MCQ_Single,True,120,{},Skipped,45
GTM08_PHY_17,Electrostatics|Gauss_Law,Hard,MCQ_Single,True,120,{},Correct,105
GTM08_PHY_18,Electrostatics|Conductors_and_Dielectrics,Hard,MCQ_Single,True,120,{},Skipped,13
GTM08_PHY_19,Current_Electricity|Kirchhoffs_Laws,Hard,MCQ_Single,True,120,{},Skipped,2
GTM08_PHY_20,Alternating_Current|Reactance,Medium,MCQ_Single,True,120,{},Skipped,109
GTM08_PHY_21,Radiation_Pressure|Dual_Nature_of_Matter,Hard,Numeric,False,180,{},Skipped,13
GTM08_PHY_22,Electromagnetic_Induction|Mutual_Inductance,Medium,Numeric,False,180,{},Skipped,390
GTM08_PHY_23,Gravitation|Gravitational_Potential|Infinite_Series,Hard,Numeric,False,180,{},Skipped,142
GTM08_PHY_24,Electromagnetic_Waves,Hard,Numeric,False,180,{},Skipped,104
GTM08_PHY_25,Current_Electricity,Hard,Numeric,False,180,{},Skipped,247
GTM08_CHEM_26,Mole_Concept|Equivalent_Weight,Medium,MCQ_Single,True,120,{},Correct,358
GTM08_CHEM_27,Atomic_Structure|Quantum_Numbers,Easy,MCQ_Single,True,120,{},Correct,23
GTM08_CHEM_28,Chemical_Bonding|VSEPR_Theory|Hybridization,Easy,MCQ_Single,True,120,{},Correct,180
GTM08_CHEM_29,Chemical_Bonding|Molecular_Orbital_Theory,Easy,MCQ_Single,True,120,{},Correct,82
GTM08_CHEM_31,Liquid_Solutions|Osmotic_Pressure|Vant_Hoff_Factor,Medium,MCQ_Single,True,120,{},Skipped,130
GTM08_CHEM_32,Biomolecules|Nucleic_Acids,Hard,MCQ_Single,True,120,{},Skipped,44
GTM08_CHEM_33,Thermodynamics|Carnot_Cycle,Hard,MCQ_Single,True,120,"{""A"": ""Efficiency_Formula_Inverted"", ""C"": ""Kelvin_Conversion_Error"", ""D"": ""Work_Heat_Confusion""}",Wrong,324
GTM08_CHEM_34,Salt_Analysis|Group_1_Cations,Medium,MCQ_Single,True,120,{},Correct,54
GTM08_CHEM_36,Coordination_Compounds|Magnetic_Properties|d_Block_Elements,Easy,MCQ_Single,True,120,{},Correct,206
GTM08_CHEM_37,Biomolecules|Amino_Acids|Peptides,Hard,MCQ_Single,True,120,{},Skipped,32
GTM08_CHEM_38,Coordination_Compounds|Crystal_Field_Theory|Spectrochemical_Series,Medium,MCQ_Single,True,120,{},Correct,92
GTM08_CHEM_39,Liquid_Solutions|Raoults_Law,Medium,MCQ_Single,True,120,{},Skipped,253
GTM08_CHEM_40,Amines|Basic_Character,Easy,MCQ_Single,True,120,{},Correct,83
GTM08_CHEM_41,IUPAC_Nomenclature,Hard,MCQ_Single,True,120,{},Skipped,107
GTM08_CHEM_42,IUPAC_Nomenclature|Alkyl_Halides,Medium,MCQ_Single,True,120,"{""A"": ""Numbering_From_Wrong_End"", ""B"": ""Substituent_Priority_Ignored"", ""D"": ""Alphabetical_Order_Error""}",Wrong,140
